,이름,평점(별),작성시간,내용
68,shin H,1개,2024년 3월 8일,툭하면 바로접속 off됨. 아니 어플접속인데 왜...? 로그아웃했다 재로그인해도 안되고 매번 삭제하고 재설치해야됨
69,P SH,2개,2024년 2월 26일,느려요. 어제부터 상품상세사진이 떴다가 사라져서 pc로 보는게더편해요 업데이트해도 마찬가지에요
70,김일란,2개,2024년 1월 25일,"없는 브랜드도 많구.,브랜드를 찾았으면 카테고리 별로 분류가 안되어 다시 일일이 검색어를 쳐서 들어가야되는 번거로움이 있어 삭제 합니다"
71,강나연,5개,2024년 2월 21일,"디자인, 소재, 가격.. 모두 좋습니다. 무엇보다 직원의 친절함! 사춘기 청소년 아들 옷, 대신 사러 가서 뭘 사야할 지 막막했는데, 친절하게 추천해주고, 도움 준 강남역 지점 직원분들. 칭찬하고 싶습니다"
72,짱돌맨,3개,2024년 3월 5일,왜 프로필에서 제품에 하트 누르면 그 제품 화면으로 넘어가는지 모르겠고 넘어갈 수 있다해도 뒤로가기 버튼 누르면 왜 맨 위 피드로 올라가나요 진짜 너무 불편해요
73,제임스,4개,2024년 3월 8일,사용자가 이용하게 쉽고 편하게 구성되어 있어 원하는 상품을 빨리 찾을수 있어 좋아요
74,Sun Kai,1개,2024년 1월 23일,카카오 망해가는거 그대로 가는듯 앱이 잘돌아가야 수시로 드나들며 보기도 하고 할텐데 느림. 뒤로가기 누르면 시작점 부터 다시 또 스크롤 내려야하고 보는 재미 떨어짐
75,ㅇㅇㅇㅇ,3개,2024년 1월 17일,자주 사용하는 무신사입니다. 근래에 창넘어가는게 엄청오래걸리는데 따로 뭐 하시나요? 앱 삭제 했다가 다시 깔아도 느려요
76,슬리핑,1개,2024년 2월 11일,업데이트후 링크누르면 어플로 연동이 되는게있고 안되는게 있네요 지웠다가 재설치해도 그렇구요
77,취향저격꼬맹이1호,5개,2024년 3월 2일,색상 선택 필터 유용하고 비슷한 디자인 추천기능도 넘 좋고 다른 회원들의 코디도 같이 볼수 있어서 좋음
78,강해정,4개,2024년 1월 29일,여기 옷 주문해보니까 괜찮네요 옷은 이월상품 같은데 다는 아니겠지만 제가 산옷은 그런거밭은데 싸게 샀으니 상관은없는데 옷이 좀 무겁지만 편안하고 엄청 따뜻해서 좋았습니다 감사합니다 잘 입을께요 나중에 또 주문하고 싶어집니다
79,박종화,1개,2024년 1월 17일,아니 최근에 로딩이 왜 이렇게 심해졌죠...?? 잘 쓰고 있었는데 최근 몇일 로딩때문에 들어가기가 싫어지네요;;;
